Error message,Error Package,File
no action,pkg/interop:no_action,errors.go
no roaming agreement,pkg/interop:no_roaming_agreement,errors.go
not registered,pkg/interop:not_registered,errors.go
invalid protocol version,pkg/interop:protocol_version,errors.go
roaming activation disallowed,pkg/interop:roaming_activation,errors.go
stale device profile,pkg/interop:stale_device_profile,errors.go
transmit failed,pkg/interop:transmit_failed,errors.go
unexpected result code {code},pkg/interop:unexpected_result,errors.go
configuration is unknown,pkg/interop:unknown_config,client.go
unknown DevAddr,pkg/interop:unknown_dev_addr,errors.go
unknown DevEUI,pkg/interop:unknown_dev_eui,errors.go
unknown MAC version,pkg/interop:unknown_mac_version,errors.go
unknown protocol,pkg/interop:unknown_protocol,client.go
unknown receiver,pkg/interop:unknown_receiver,errors.go
unknown sender,pkg/interop:unknown_sender,errors.go
device already provisioned,pkg/joinserver/redis:already_provisioned,registry.go
duplicate identifiers,pkg/joinserver/redis:duplicate_identifiers,registry.go
invalid fieldmask,pkg/joinserver/redis:invalid_fieldmask,registry.go
invalid identifiers,pkg/joinserver/redis:invalid_identifiers,registry.go
provisioner `{id}` not found,pkg/joinserver/redis:provisioner_not_found,registry.go
read-only field `{field}`,pkg/joinserver/redis:read_only_field,registry.go
failed to get application activation settings,pkg/joinserver:application_activation_settings,joinserver.go
application activation settings not found,pkg/joinserver:application_activation_settings_not_found,grpc_application_activation_settings_registry.go
caller `{name}` is not authorized for the entity,pkg/joinserver:caller_not_authorized,errors.go
MIC check failed,pkg/joinserver:check_mic,errors.go
failed to compute MIC,pkg/joinserver:compute_mic,errors.go
failed to decode payload,pkg/joinserver:decode_payload,errors.go
failed to derive application session key,pkg/joinserver:derive_app_s_key,errors.go
failed to derive network session keys,pkg/joinserver:derive_nwk_s_keys,errors.go
DevNonce is too high,pkg/joinserver:dev_nonce_too_high,errors.go
DevNonce is too small,pkg/joinserver:dev_nonce_too_small,errors.go
device not found,pkg/joinserver:device_not_found,errors.go
a device identified by the identifiers already exists,pkg/joinserver:duplicate_identifiers,errors.go
failed to encode payload,pkg/joinserver:encode_payload,errors.go
failed to encrypt JoinAccept,pkg/joinserver:encrypt_payload,errors.go
GetEndDeviceRequest is invalid,pkg/joinserver:end_device_request,errors.go
invalid field mask,pkg/joinserver:field_mask,grpc_deviceregistry.go
invalid value of field `{field}`,pkg/joinserver:field_value,grpc_deviceregistry.go
failed to generate session key ID,pkg/joinserver:generate_session_key_id,errors.go
invalid identifiers,pkg/joinserver:invalid_identifiers,errors.go
JoinNonce is too high,pkg/joinserver:join_nonce_too_high,errors.go
KEK not found,pkg/joinserver:kek,joinserver.go
lookup NetID,pkg/joinserver:lookup_net_id,errors.go
unsupported LoRaWAN major version: `{major}`,pkg/joinserver:lorawan_major_version,errors.go
unsupported MAC version: `{version}`,pkg/joinserver:mac_version,errors.go
MIC mismatch,pkg/joinserver:mic_mismatch,errors.go
NetID `{net_id}` does not match,pkg/joinserver:net_id_mismatch,errors.go
no AppKey specified,pkg/joinserver:no_app_key,errors.go
no AppSKey specified,pkg/joinserver:no_app_s_key,errors.go
no AS-ID specified,pkg/joinserver:no_application_server_id,errors.go
no DevAddr specified,pkg/joinserver:no_dev_addr,errors.go
no DevEUI specified,pkg/joinserver:no_dev_eui,errors.go
no FNwkSIntKey specified,pkg/joinserver:no_f_nwk_s_int_key,errors.go
no JoinEUI specified,pkg/joinserver:no_join_eui,errors.go
no JoinRequest specified,pkg/joinserver:no_join_request,errors.go
no KEK label specified,pkg/joinserver:no_kek_label,grpc_application_activation_settings_registry.go
no NetID specified,pkg/joinserver:no_net_id,errors.go
no NwkKey specified,pkg/joinserver:no_nwk_key,errors.go
no NwkSEncKey specified,pkg/joinserver:no_nwk_s_enc_key,errors.go
no paths specified,pkg/joinserver:no_paths,grpc_application_activation_settings_registry.go
no message payload specified,pkg/joinserver:no_payload,errors.go
no root keys specified,pkg/joinserver:no_root_keys,errors.go
no SNwkSIntKey specified,pkg/joinserver:no_s_nwk_s_int_key,errors.go
expected length of payload to be equal to 23 got {length},pkg/joinserver:payload_length,errors.go
wrong payload type: {type},pkg/joinserver:payload_type,errors.go
expected `{expected}` but have `{actual}` entries to provision,pkg/joinserver:provision_entry_count,errors.go
failed to decode provisioning data,pkg/joinserver:provisioner_decode,errors.go
provisioner `{id}` not found,pkg/joinserver:provisioner_not_found,errors.go
provisioning failed,pkg/joinserver:provisioning,errors.go
registry operation failed,pkg/joinserver:registry_operation,errors.go
DevNonce has already been used,pkg/joinserver:reuse_dev_nonce,errors.go
unauthenticated,pkg/joinserver:unauthenticated,errors.go
JoinEUI specified is not known,pkg/joinserver:unknown_join_eui,errors.go
failed to unwrap key,pkg/joinserver:unwrap_key,errors.go
failed to wrap key with KEK label `{label}`,pkg/joinserver:wrap_key,errors.go
invalid channel `{channel}`,pkg/messageprocessors/cayennelpp:channel,keys.go
invalid input,pkg/messageprocessors/cayennelpp:input,cayennelpp.go
invalid key name `{name}`,pkg/messageprocessors/cayennelpp:key_name,keys.go
invalid output,pkg/messageprocessors/cayennelpp:output,cayennelpp.go
invalid input,pkg/messageprocessors/javascript:input,javascript.go
invalid output,pkg/messageprocessors/javascript:output,javascript.go
{errors},pkg/messageprocessors/javascript:output_errors,javascript.go
MAC state is corrupted,pkg/networkserver/internal:corrupted_mac_state,errors.go
invalid data rate,pkg/networkserver/internal:data_rate,errors.go
specified version `{ver}` of band `{id}` does not exist,pkg/networkserver/internal:no_band_version,utils.go
invalid payload,pkg/networkserver/internal:payload,errors.go
channel is unknown,pkg/networkserver/internal:unknown_chanel,errors.go
multicast device in class A mode,pkg/networkserver/mac:class_a_multicast,utils.go
no message payload specified,pkg/networkserver/mac:no_payload,errors.go
"MAC response received, but corresponding request not found",pkg/networkserver/mac:request_not_found,errors.go
database is corrupted,pkg/networkserver/redis:database_corruption,redis.go
duplicate identifiers,pkg/networkserver/redis:duplicate_identifiers,registry.go
device is invalid,pkg/networkserver/redis:invalid_device,registry.go
invalid fieldmask,pkg/networkserver/redis:invalid_fieldmask,registry.go
invalid identifiers,pkg/networkserver/redis:invalid_identifiers,registry.go
invalid payload,pkg/networkserver/redis:invalid_payload,application_uplink_queue.go
missing payload,pkg/networkserver/redis:missing_payload,application_uplink_queue.go
no device matches uplink,pkg/networkserver/redis:no_uplink_match,registry.go
read-only field `{field}`,pkg/networkserver/redis:read_only_field,registry.go
received a join-request from ABP device,pkg/networkserver:abp_join_request,errors.go
invalid absolute time set in application downlink,pkg/networkserver:absolute_time,errors.go
application downlink payload length `{length}` exceeds maximum '{max}',pkg/networkserver:application_downlink_too_long,errors.go
invalid channel index,pkg/networkserver:channel_index,errors.go
failed to compute MIC,pkg/networkserver:compute_mic,errors.go
invalid configuration,pkg/networkserver:configuration,errors.go
confirmed downlink queued for multicast device,pkg/networkserver:confirmed_multicast_downlink,errors.go
confirmed downlink is scheduled too soon,pkg/networkserver:confirmed_too_soon,errors.go
MAC state is corrupted,pkg/networkserver:corrupted_mac_state,errors.go
invalid data rate,pkg/networkserver:data_rate,errors.go
data rate with index `{index}` not found,pkg/networkserver:data_rate_index_not_found,errors.go
data rate not found,pkg/networkserver:data_rate_not_found,errors.go
failed to decode payload,pkg/networkserver:decode_payload,errors.go
device already exists,pkg/networkserver:device_exists,registry.go
device not found,pkg/networkserver:device_not_found,errors.go
queued downlink is expired,pkg/networkserver:downlink_expired,errors.go
invalid downlink priority `{value}`,pkg/networkserver:downlink_priority,config.go
Downlink queue capacity exceeded,pkg/networkserver:downlink_queue_capacity_exceeded,grpc_asns.go
uplink is a duplicate,pkg/networkserver:duplicate,errors.go
session in empty,pkg/networkserver:empty_session,errors.go
failed to encode MAC commands,pkg/networkserver:encode_mac,errors.go
failed to encode payload,pkg/networkserver:encode_payload,errors.go
failed to encrypt MAC commands,pkg/networkserver:encrypt_mac,errors.go
FCnt `{f_cnt}` is lower than minimum of `{min_f_cnt}`,pkg/networkserver:f_cnt_too_low,errors.go
invalid field mask,pkg/networkserver:field_mask,errors.go
invalid value of field `{field}`,pkg/networkserver:field_value,errors.go
invalid fixed paths set in application downlink,pkg/networkserver:fixed_paths,errors.go
Join Server not found,pkg/networkserver:join_server_not_found,errors.go
"MAC response received, but corresponding request not found",pkg/networkserver:mac_request_not_found,errors.go
no DevEUI specified,pkg/networkserver:no_dev_eui,errors.go
no downlink to send,pkg/networkserver:no_downlink,downlink.go
no downlink path available,pkg/networkserver:no_downlink_path,errors.go
no JoinEUI specified,pkg/networkserver:no_join_eui,errors.go
no message payload specified,pkg/networkserver:no_payload,errors.go
data is outdated,pkg/networkserver:outdated_data,errors.go
invalid payload,pkg/networkserver:payload,errors.go
length of RawPayload must not be less than 4,pkg/networkserver:raw_payload_too_short,errors.go
rejoin-request handling is not implemented,pkg/networkserver:rejoin_request,grpc_gsns.go
retransmission delay exceeded maximum,pkg/networkserver:retransmission_delay_exceeded,grpc_gsns.go
all downlink scheduling attempts failed,pkg/networkserver:schedule,errors.go
transmission number exceeded maximum,pkg/networkserver:transmission_number_exceeded,grpc_gsns.go
channel is unknown,pkg/networkserver:unknown_chanel,errors.go
FNwkSIntKey is unknown,pkg/networkserver:unknown_f_nwk_s_int_key,errors.go
MAC state is unknown,pkg/networkserver:unknown_mac_state,errors.go
NwkSEncKey is unknown,pkg/networkserver:unknown_nwk_s_enc_key,errors.go
SNwkSIntKey is unknown,pkg/networkserver:unknown_s_nwk_s_int_key,errors.go
unknown session,pkg/networkserver:unknown_session,errors.go
unsupported LoRaWAN version: `{version}`,pkg/networkserver:unsupported_lorawan_version,errors.go
uplink channel not found,pkg/networkserver:uplink_channel_not_found,errors.go
access denied,pkg/oauth:access_denied,server.go
OAuth client does not have {grant} grant,pkg/oauth:client_missing_grant,oauth.go
OAuth client was not approved,pkg/oauth:client_not_approved,oauth.go
OAuth client was rejected,pkg/oauth:client_rejected,oauth.go
OAuth client was suspended,pkg/oauth:client_suspended,oauth.go
internal error {id},pkg/oauth:internal,server.go
invalid or unauthenticated client,pkg/oauth:invalid client,server.go
"invalid, expired or revoked authorization code",pkg/oauth:invalid_grant,server.go
the redirect URI did not match the one(s) defined in the client,pkg/oauth:invalid_logout_redirect_uri,user.go
invalid redirect URI,pkg/oauth:invalid_redirect_uri,server.go
invalid or missing request parameter,pkg/oauth:invalid_request,server.go
invalid scope,pkg/oauth:invalid_scope,server.go
access token ID was not provided,pkg/oauth:missing_param_access_token_id,user.go
the provided token is not an access token`,pkg/oauth:no_access_token,storage.go
the provided token is not a refresh token`,pkg/oauth:no_refresh_token,storage.go
invalid token,pkg/oauth:token,storage.go
refresh token ID `{refresh_token_id}` does not match access token ID `{access_token_id}`,pkg/oauth:token_mismatch,storage.go
client is not authorized to request a token using this method,pkg/oauth:unauthorized_client,server.go
unsupported grant type,pkg/oauth:unsupported_grant_type,server.go
unsupported response type,pkg/oauth:unsupported_response_type,server.go
invalid authentication mode `{mode}`,pkg/packetbrokeragent:authentication_mode,agent.go
decode LoRaWAN payload,pkg/packetbrokeragent:decode_payload,translation.go
invalid uplink token downlink path,pkg/packetbrokeragent:downlink_path,translation.go
Forwarder is disabled,pkg/packetbrokeragent:forwarder_disabled,grpc_gspba.go
Home Network is disabled,pkg/packetbrokeragent:home_network_disabled,grpc_nspba.go
invalid Rx1 delay,pkg/packetbrokeragent:invalid_rx1_delay,translation.go
invalid message identifiers,pkg/packetbrokeragent:message_identifiers,agent.go
invalid NetID `{net_id}`,pkg/packetbrokeragent:net_id,agent.go
no downlink paths,pkg/packetbrokeragent:no_downlink_paths,translation.go
no PHYPayload in message,pkg/packetbrokeragent:no_phy_payload,encryption.go
downlink message is not a transmission request,pkg/packetbrokeragent:no_request,translation.go
invalid token key,pkg/packetbrokeragent:token_key,agent.go
unknown band `{band_id}`,pkg/packetbrokeragent:unknown_band,translation.go
unknown class `{class}`,pkg/packetbrokeragent:unknown_class,translation.go
unknown data rate in region `{region}`,pkg/packetbrokeragent:unknown_data_rate,translation.go
unknown priority `{priority}`,pkg/packetbrokeragent:unknown_priority,translation.go
unsupported LoRaWAN version `{version}`,pkg/packetbrokeragent:unsupported_lorawan_version,translation.go
unsupported LoRaWAN MType `{m_type}`,pkg/packetbrokeragent:unsupported_m_type,translation.go
unwrap gateway uplink token,pkg/packetbrokeragent:unwrap_gateway_uplink_token,translation.go
wrap gateway uplink token,pkg/packetbrokeragent:wrap_gateway_uplink_token,translation.go
wrap uplink tokens,pkg/packetbrokeragent:wrap_uplink_tokens,translation.go
invalid frequency plan `{name}`,pkg/pfconfig/lbslns:frequency_plan,lbslns.go
gateway server address is empty,pkg/pfconfig/shared:empty_gateway_server_address,shared.go
gateway server address is invalid,pkg/pfconfig/shared:invalid_gateway_server_address,shared.go
key `{key}` invalid,pkg/pfconfig/shared:invalid_key,shared.go
invalid entry,pkg/provisioning:entry,provisioning.go
invalid character `{r}`,pkg/qrcode:character,qrcode.go
invalid format,pkg/qrcode:format,qrcode.go
no DevEUI,pkg/qrcode:no_dev_eui,qrcode.go
no JoinEUI,pkg/qrcode:no_join_eui,qrcode.go
format `{id}` not found,pkg/qrcodegenerator:format_not_found,qrcodegenerator.go
failed to decode value,pkg/redis:decode,errors.go
failed to encode value,pkg/redis:encode,errors.go
no arguments,pkg/redis:no_arguments,errors.go
entity not found,pkg/redis:not_found,errors.go
store error,pkg/redis:store,errors.go
transaction failed,pkg/redis:transaction_failed,errors.go
invalid value type for key `{key}`,pkg/redis:value_type,errors.go
fetch OAuth 2.0 token,pkg/rpcclient:fetch_oauth2_token,oauth2_client.go
invalid OAuth 2.0 token,pkg/rpcclient:invalid_oauth2_token,oauth2_client.go
the context is not authenticated,pkg/rpcmetadata:unauthenticated,request.go
invalid address,pkg/rpcmiddleware/discover:address,discover.go
service role `{role}` not discoverable,pkg/rpcmiddleware/discover:role,discover.go
forbidden path(s) in field mask,pkg/rpcmiddleware/validator:field_mask_paths,validator.go
validator not defined,pkg/rpcmiddleware/validator:no_validator,validator.go
path `{path}` is not zero,pkg/rpcmiddleware/validator:non_zero_path,validator.go
Internal Server Error,pkg/rpcserver:rpc_recovered,rpcserver.go
entrypoint `{entrypoint}` not found,pkg/scripting/javascript:entrypoint_not_found,javascript.go
no script output,pkg/scripting/javascript:no_script_output,javascript.go
runtime error,pkg/scripting/javascript:runtime,javascript.go
{message},pkg/scripting/javascript:script,javascript.go
script interrupt,pkg/scripting/javascript:script_interrupt,javascript.go
script timeout,pkg/scripting/javascript:script_timeout,javascript.go
invalid bandwidth `{bandwidth}`,pkg/toa:bandwidth,toa.go
invalid coding rate `{coding_rate}`,pkg/toa:coding_rate,toa.go
invalid frequency `{frequency}`,pkg/toa:frequency,toa.go
invalid spreading factor `{spreading_factor}`,pkg/toa:spreading_factor,toa.go
failed to parse bandwidth,pkg/ttnpb/udp:bandwidth,errors.go
failed to parse EUI,pkg/ttnpb/udp:eui,errors.go
invalid modulation `{modulation}`,pkg/ttnpb/udp:modulation,errors.go
packet is not long enough to contain the EUI,pkg/ttnpb/udp:no_eui,errors.go
downlink message not scheduled,pkg/ttnpb/udp:not_scheduled,errors.go
invalid packet type,pkg/ttnpb/udp:packet_type,packet.go
failed to parse binary payload,pkg/ttnpb/udp:payload,errors.go
failed to parse spreading factor,pkg/ttnpb/udp:spreading_factor,errors.go
failed to parse timestamp,pkg/ttnpb/udp:timestamp,errors.go
`{field}` should be between `{min}` and `{max}`,pkg/ttnpb:field_bound,errors.go
`{field}` should be lower or equal to `{max}`,pkg/ttnpb:field_with_max,errors.go
invalid identifiers,pkg/ttnpb:identifiers,identifiers.go
field `{field}` is missing,pkg/ttnpb:missing_field,fieldmask_utils.go
missing identifiers,pkg/ttnpb:missing_identifiers,errors.go
could not parse `{value}` into `{field}`,pkg/ttnpb:parse,errors.go
could not parse semantic version,pkg/ttnpb:parsing_semantic_version,lorawan.go
field `{field}` is prohibited,pkg/ttnpb:prohibited_field,fieldmask_utils.go
invalid DevAddr prefix,pkg/types:dev_addr_prefix,devaddr.go
invalid EUI prefix,pkg/types:eui_prefix,eui.go
invalid JSON: `{json}`,pkg/types:invalid_json,types.go
invalid slice length,pkg/types:invalid_length,types.go
too many bits set in NetID,pkg/types:net_id_bits,netid.go
NetID overflow,pkg/types:net_id_overflow,netid.go
NetID type must be lower or equal to 7,pkg/types:net_id_type,netid.go
too many bits set in NwkAddr,pkg/types:nwk_addr_bits,devaddr.go
invalid type for src,pkg/types:src_type,types.go
invalid format in value `{value}`,pkg/unique:format,unique.go
invalid unique identifier `{uid}`,pkg/unique:unique_identifier,unique.go
invalid data rate,pkg/util/datarate:data_rate,data_rate.go
`{email}` is not a valid email.,pkg/validate:email,email.go
invalid field `{name}`,pkg/validate:field,validate.go
field is set,pkg/validate:field_set,required.go
"`{fieldmaskpath}` may consist of only lowercase letters, numbers, underscores and dots. It may not start or end with a dot or underscore, or have two or more consecutive dots or underscores. Also, it must be between 2 and 256 characters in length.",pkg/validate:fieldmaskpath,fieldmask.go
must be non-empty and have at least a length of value `{expected}`,pkg/validate:min_slice_length,min_length.go
must have at least a length of value `{expected}`,pkg/validate:min_string_length,min_length.go
must be non-nil,pkg/validate:nil,min_length.go
"must be slice or array, is `{type}`",pkg/validate:no_slice_or_array,in.go
`{value}` is not present in `{allowed_values}`,pkg/validate:not_present,in.go
got `{type}` instead of string,pkg/validate:not_string,validate.go
"must be string or slice, is `{type}`",pkg/validate:not_string_or_slice,min_length.go
`{value}` is not a subset of `{reference}`,pkg/validate:not_subset,in.go
password must be at least 8 characters long,pkg/validate:password_length,password.go
a value is required,pkg/validate:required,validate.go
Internal Server Error,pkg/web/middleware:http_recovered,recover.go
token exchange refused,pkg/web/oauthclient:exchange,callback.go
invalid state parameter,pkg/web/oauthclient:invalid_state,callback.go
no code parameter present in request,pkg/web/oauthclient:no_code,callback.go
no OAuth configuration found for the OAuth client,pkg/web/oauthclient:no_oauth_config,oauthclient.go
no state parameter present in request,pkg/web/oauthclient:no_state,callback.go
token refresh refused,pkg/web/oauthclient:refresh,token.go
refused by OAuth server,pkg/web/oauthclient:refused,callback.go
route `{route}` not found,pkg/webhandlers:route_not_found,error.go
Internal Server Error,pkg/webmiddleware:http_recovered,recover.go
request body too large,pkg/webmiddleware:request_body_too_large,max_body.go
No secure cookie value in this context,pkg/webmiddleware:secure_cookie_invalid_context,cookie.go
